,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
578,579,30.22,west coast,evening,0.37,0.1,4,3,early bird,curling,3,frosh
578,579,9.49,west coast,evening,0.47,0.0,3,3,early bird,curling,3,frosh
578,579,44.42,west coast,noon,0.38,0.0,3,3,early bird,curling,3,frosh
578,579,0.0,west coast,noon,0.13,0.0,3,2,early bird,curling,3,frosh
578,579,37.13,west coast,noon,0.31,0.06,4,2,early bird,curling,3,frosh
578,579,30.99,west coast,morning,0.17,0.23,4,3,early bird,curling,3,frosh
578,579,35.15,west coast,noon,0.0,0.46,5,3,early bird,curling,3,frosh
578,579,29.19,west coast,noon,0.02,1.0,3,3,early bird,curling,3,frosh
578,579,15.97,west coast,noon,0.0,0.86,5,1,early bird,curling,3,frosh
578,579,28.44,west coast,noon,0.28,0.85,4,2,early bird,curling,3,frosh
