,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
779,780,0.0,west coast,evening,0.35,0.25,3,0,night owl,curling,4,junior
779,780,0.0,west coast,noon,0.16,0.35,3,1,night owl,curling,4,junior
779,780,2.11,west coast,noon,0.09,0.19,3,1,night owl,curling,4,junior
779,780,2.37,west coast,morning,0.0,0.48,2,1,night owl,curling,4,junior
779,780,12.44,west coast,evening,0.17,0.53,1,1,night owl,curling,4,junior
779,780,2.3000000000000003,west coast,morning,0.17,0.35,2,0,night owl,curling,4,junior
779,780,0.0,west coast,noon,0.33,0.52,3,0,night owl,curling,4,junior
779,780,0.74,west coast,noon,0.25,0.0,3,0,night owl,curling,4,junior
779,780,18.99,west coast,noon,0.38,0.0,4,1,night owl,curling,4,junior
779,780,46.17,west coast,noon,0.0,0.0,5,0,night owl,curling,4,junior
