,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
788,789,40.54,west coast,evening,0.08,0.96,0,7,early bird,frisbee,3,senior
788,789,28.64,west coast,evening,0.0,0.94,0,5,early bird,frisbee,3,senior
788,789,27.08,west coast,noon,0.12,0.93,1,5,early bird,frisbee,3,senior
788,789,24.49,west coast,evening,0.07,0.97,1,7,early bird,frisbee,3,senior
788,789,36.12,west coast,noon,0.2,0.75,0,6,early bird,frisbee,3,senior
788,789,20.59,west coast,evening,0.2,0.92,0,6,early bird,frisbee,3,senior
788,789,13.76,west coast,noon,0.0,0.74,0,4,early bird,frisbee,3,senior
788,789,17.35,west coast,noon,0.02,0.97,0,3,early bird,frisbee,3,senior
788,789,43.71,west coast,morning,0.0,1.0,0,3,early bird,frisbee,3,senior
788,789,18.84,west coast,noon,0.03,0.87,0,0,early bird,frisbee,3,senior
