,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
620,621,20.81,west coast,evening,0.06,0.7000000000000001,0,2,night owl,basketball,5,frosh
620,621,31.8,west coast,noon,0.0,0.9,0,1,night owl,basketball,5,frosh
620,621,34.29,west coast,evening,0.0,1.0,0,2,night owl,basketball,5,frosh
620,621,39.33,west coast,noon,0.07,1.0,0,4,night owl,basketball,5,frosh
620,621,44.39,west coast,noon,0.12,1.0,0,4,night owl,basketball,5,frosh
620,621,43.5,west coast,noon,0.0,1.0,0,4,night owl,basketball,5,frosh
620,621,39.46,west coast,noon,0.13,1.0,2,4,night owl,basketball,5,frosh
620,621,27.59,west coast,noon,0.04,1.0,2,4,night owl,basketball,5,frosh
620,621,21.3,west coast,noon,0.0,1.0,1,4,night owl,basketball,5,frosh
620,621,36.22,west coast,noon,0.0,1.0,2,3,night owl,basketball,5,frosh
