,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
352,353,32.81,west coast,evening,0.36,0.02,8,2,night owl,baseball,3,sophomore
352,353,39.31,west coast,evening,0.73,0.0,8,2,night owl,baseball,3,sophomore
352,353,25.79,west coast,noon,0.59,0.13,10,2,night owl,baseball,3,sophomore
352,353,41.51,west coast,evening,0.56,0.04,9,2,night owl,baseball,3,sophomore
352,353,53.21,west coast,noon,0.0,0.0,9,2,night owl,baseball,3,sophomore
352,353,37.87,west coast,noon,0.01,0.02,9,1,night owl,baseball,3,sophomore
352,353,20.11,west coast,noon,0.0,0.0,9,1,night owl,baseball,3,sophomore
352,353,4.5,west coast,evening,0.0,0.08,9,0,night owl,baseball,3,sophomore
352,353,0.36,west coast,noon,0.0,0.0,10,0,night owl,baseball,3,sophomore
352,353,27.64,west coast,noon,0.0,0.23,10,0,night owl,baseball,3,sophomore
