,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
324,325,49.72,west coast,evening,0.46,0.77,6,9,night owl,frisbee,4,frosh
324,325,62.17,west coast,noon,0.56,0.98,7,10,night owl,frisbee,4,frosh
324,325,54.71,west coast,noon,0.73,0.8,7,10,night owl,frisbee,4,frosh
324,325,67.7,west coast,noon,0.92,0.85,9,11,night owl,frisbee,4,frosh
324,325,68.78,west coast,noon,0.8,0.98,7,11,night owl,frisbee,4,frosh
324,325,69.87,west coast,morning,0.76,0.99,6,10,night owl,frisbee,4,sophomore
324,325,79.87,west coast,evening,0.99,0.92,7,9,night owl,frisbee,4,sophomore
324,325,76.62,west coast,noon,0.8200000000000001,1.0,7,10,night owl,frisbee,4,sophomore
324,325,66.99,west coast,evening,0.88,0.89,6,11,night owl,frisbee,4,sophomore
324,325,54.01,west coast,noon,0.74,0.78,6,12,night owl,frisbee,4,sophomore
