,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
606,607,30.47,west coast,evening,0.11,0.26,2,3,night owl,martial arts,4,frosh
606,607,31.01,west coast,evening,0.18,0.33,2,3,night owl,martial arts,4,frosh
606,607,13.23,west coast,noon,0.0,0.1,2,3,night owl,martial arts,4,frosh
606,607,0.0,west coast,noon,0.0,0.39,3,2,night owl,martial arts,4,frosh
606,607,39.37,west coast,noon,0.0,0.34,2,2,night owl,martial arts,4,frosh
606,607,8.92,west coast,noon,0.04,0.6,2,1,night owl,martial arts,4,frosh
606,607,37.02,west coast,noon,0.22,1.0,2,1,night owl,martial arts,4,frosh
606,607,36.22,west coast,noon,0.31,1.0,0,1,night owl,martial arts,4,frosh
606,607,25.46,west coast,noon,0.23,0.99,0,1,night owl,martial arts,4,frosh
606,607,33.4,west coast,noon,0.0,1.0,0,0,night owl,martial arts,4,frosh
