,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
989,990,38.06,west coast,evening,0.63,0.61,7,4,early bird,table tennis,3,senior
989,990,48.26,west coast,noon,0.54,0.86,8,5,early bird,table tennis,3,senior
989,990,68.99,west coast,noon,0.66,1.0,9,6,early bird,table tennis,3,senior
989,990,63.65,west coast,noon,1.0,0.78,9,6,early bird,table tennis,3,senior
989,990,52.01,west coast,evening,1.0,0.48,9,8,early bird,table tennis,3,senior
989,990,54.69,west coast,evening,1.0,0.32,9,8,early bird,table tennis,3,senior
989,990,43.66,west coast,noon,1.0,0.0,9,10,early bird,table tennis,3,senior
989,990,27.53,west coast,noon,1.0,0.12,8,11,early bird,table tennis,3,senior
989,990,44.66,west coast,evening,0.86,0.44,8,9,early bird,table tennis,3,senior
989,990,57.120000000000005,west coast,noon,0.93,0.6,8,8,early bird,table tennis,3,senior
