,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
289,290,25.31,west coast,evening,0.12,0.84,0,1,night owl,basketball,3,sophomore
289,290,32.79,west coast,evening,0.24,0.84,0,0,night owl,basketball,3,sophomore
289,290,28.05,west coast,evening,0.23,0.13,0,0,night owl,basketball,3,sophomore
289,290,23.21,west coast,evening,0.16,0.46,1,0,night owl,basketball,3,sophomore
289,290,29.06,west coast,morning,0.0,0.6900000000000001,1,0,night owl,basketball,3,sophomore
289,290,30.11,west coast,noon,0.0,1.0,1,0,night owl,basketball,3,sophomore
289,290,17.3,west coast,noon,0.0,1.0,0,0,night owl,basketball,3,sophomore
289,290,15.37,west coast,noon,0.1,1.0,0,0,night owl,basketball,3,sophomore
289,290,23.73,west coast,noon,0.0,0.94,1,0,night owl,basketball,3,sophomore
289,290,34.82,west coast,evening,0.0,1.0,2,0,night owl,basketball,3,sophomore
