,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
450,451,25.95,west coast,evening,0.33,0.26,0,3,night owl,gymnastics,7,sophomore
450,451,0.0,west coast,noon,0.0,0.0,0,5,night owl,gymnastics,7,sophomore
450,451,0.0,west coast,noon,0.0,0.02,0,7,night owl,gymnastics,7,sophomore
450,451,0.0,west coast,noon,0.04,0.09,0,6,night owl,gymnastics,7,sophomore
450,451,0.0,west coast,noon,0.0,0.0,0,4,night owl,gymnastics,7,sophomore
450,451,0.0,west coast,morning,0.0,0.0,0,4,night owl,gymnastics,7,sophomore
450,451,0.0,west coast,noon,0.0,0.0,0,3,night owl,gymnastics,7,sophomore
450,451,0.0,west coast,noon,0.05,0.0,0,3,night owl,gymnastics,7,sophomore
450,451,26.79,west coast,evening,0.0,0.23,0,2,night owl,gymnastics,7,sophomore
450,451,0.0,west coast,noon,0.0,0.0,0,0,night owl,gymnastics,7,sophomore
