,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
447,448,35.22,west coast,evening,0.43,0.02,9,1,night owl,gymnastics,3,frosh
447,448,40.5,west coast,evening,0.0,0.0,8,2,night owl,gymnastics,3,frosh
447,448,35.28,west coast,noon,0.03,0.0,7,3,night owl,gymnastics,3,frosh
447,448,10.81,west coast,noon,0.06,0.12,6,3,night owl,gymnastics,3,frosh
447,448,31.52,west coast,morning,0.15,0.38,4,4,night owl,gymnastics,3,frosh
447,448,29.96,west coast,noon,0.07,0.1,3,3,night owl,gymnastics,3,frosh
447,448,9.22,west coast,noon,0.04,0.02,3,3,night owl,gymnastics,3,frosh
447,448,19.4,west coast,evening,0.0,0.11,2,2,night owl,gymnastics,3,frosh
447,448,44.35,west coast,noon,0.0,0.12,2,2,night owl,gymnastics,3,frosh
447,448,0.0,west coast,noon,0.0,0.0,2,2,night owl,gymnastics,3,frosh
