,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
136,137,54.33,east coast,noon,0.93,0.87,7,10,early bird,baseball,4,senior
136,137,76.61,east coast,morning,0.97,1.0,7,10,early bird,baseball,4,senior
136,137,73.42,east coast,morning,1.0,0.95,8,10,early bird,baseball,4,senior
136,137,68.77,east coast,noon,1.0,0.95,8,12,early bird,baseball,4,senior
136,137,75.51,east coast,noon,1.0,0.99,8,12,early bird,baseball,4,senior
136,137,81.81,west coast,noon,1.0,1.0,9,12,early bird,baseball,4,senior
136,137,80.3,west coast,evening,1.0,0.98,9,11,early bird,baseball,4,senior
136,137,59.43,west coast,evening,1.0,0.77,9,11,early bird,baseball,4,senior
136,137,54.85,west coast,noon,0.86,0.76,9,9,early bird,baseball,4,senior
136,137,58.17,west coast,noon,0.78,0.89,9,8,early bird,baseball,4,senior
