,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
877,878,66.93,west coast,noon,0.79,0.98,3,8,night owl,basketball,4,junior
877,878,54.59,west coast,noon,1.0,0.76,2,8,night owl,basketball,4,junior
877,878,56.86,west coast,noon,0.8200000000000001,0.97,2,11,night owl,basketball,4,junior
877,878,65.12,west coast,noon,1.0,0.94,2,11,night owl,basketball,4,senior
877,878,71.76,west coast,noon,0.97,0.95,1,10,night owl,basketball,4,senior
877,878,69.62,west coast,evening,1.0,0.86,3,8,night owl,basketball,4,senior
877,878,55.04,west coast,noon,0.94,0.6900000000000001,2,9,night owl,basketball,4,senior
877,878,59.6,west coast,noon,1.0,0.55,1,8,night owl,basketball,4,senior
877,878,50.76,west coast,noon,1.0,0.43,2,7,night owl,basketball,4,senior
877,878,22.4,west coast,noon,1.0,0.0,3,6,night owl,basketball,4,senior
