,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
415,416,39.52,west coast,evening,0.79,0.13,7,1,early bird,table tennis,7,sophomore
415,416,25.78,west coast,noon,1.0,0.32,6,0,early bird,table tennis,7,sophomore
415,416,42.45,west coast,noon,1.0,0.73,7,1,early bird,table tennis,7,sophomore
415,416,53.47,west coast,noon,0.99,1.0,5,0,early bird,table tennis,7,sophomore
415,416,56.29,west coast,noon,1.0,0.98,6,0,early bird,table tennis,7,sophomore
415,416,50.45,west coast,noon,0.94,1.0,5,0,early bird,table tennis,7,sophomore
415,416,53.28,west coast,noon,0.76,1.0,6,2,early bird,table tennis,7,sophomore
415,416,39.41,west coast,noon,0.79,0.85,4,2,early bird,table tennis,7,sophomore
415,416,41.65,west coast,evening,1.0,0.77,2,2,early bird,table tennis,7,sophomore
415,416,63.77,west coast,noon,1.0,1.0,2,3,early bird,table tennis,7,sophomore
