,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
712,713,57.13,west coast,evening,0.95,0.88,4,7,night owl,table tennis,5,junior
712,713,50.39,west coast,evening,1.0,0.67,5,6,night owl,table tennis,5,junior
712,713,60.6,west coast,noon,1.0,0.91,4,5,night owl,table tennis,5,junior
712,713,63.85,west coast,noon,0.94,1.0,3,3,night owl,table tennis,5,junior
712,713,68.29,west coast,evening,0.96,0.91,3,3,night owl,table tennis,5,junior
712,713,48.56,west coast,noon,1.0,0.95,2,2,night owl,table tennis,5,senior
712,713,28.96,west coast,noon,0.94,0.79,2,2,night owl,table tennis,5,senior
712,713,44.45,west coast,noon,1.0,0.8,3,2,night owl,table tennis,5,senior
712,713,46.71,west coast,noon,0.95,0.78,5,0,night owl,table tennis,5,senior
712,713,51.33,west coast,noon,0.95,1.0,4,0,night owl,table tennis,5,senior
