,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
828,829,15.31,west coast,morning,0.31,0.36,5,11,night owl,football,5,sophomore
828,829,6.71,west coast,morning,0.0,0.48,6,10,night owl,football,5,sophomore
828,829,54.22,west coast,noon,0.07,0.0,6,11,night owl,football,5,sophomore
828,829,11.78,west coast,noon,0.0,0.0,5,11,night owl,football,5,sophomore
828,829,24.56,west coast,noon,0.03,0.0,5,10,night owl,football,5,sophomore
828,829,17.36,west coast,noon,0.21,0.01,4,9,night owl,football,5,sophomore
828,829,28.82,west coast,noon,0.43,0.0,6,10,night owl,football,5,sophomore
828,829,43.22,west coast,noon,0.18,0.0,6,10,night owl,football,5,sophomore
828,829,17.42,west coast,morning,0.6,0.0,5,10,night owl,football,5,sophomore
828,829,18.32,west coast,noon,1.0,0.1,4,12,night owl,football,5,sophomore
