,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
871,872,38.09,west coast,noon,0.23,0.62,0,6,night owl,gymnastics,6,junior
871,872,23.1,west coast,noon,0.47,0.77,0,6,night owl,gymnastics,6,junior
871,872,18.88,west coast,noon,0.0,1.0,0,7,night owl,gymnastics,6,senior
871,872,20.16,west coast,noon,0.04,0.97,1,8,night owl,gymnastics,6,senior
871,872,20.32,west coast,noon,0.0,1.0,1,9,night owl,gymnastics,6,senior
871,872,18.49,west coast,evening,0.0,0.86,2,9,night owl,gymnastics,6,senior
871,872,0.0,west coast,noon,0.0,0.6900000000000001,3,8,night owl,gymnastics,6,senior
871,872,13.18,west coast,noon,0.07,0.67,4,9,night owl,gymnastics,6,senior
871,872,30.18,west coast,noon,0.28,0.81,4,8,night owl,gymnastics,6,senior
871,872,14.65,west coast,noon,0.07,0.6900000000000001,3,8,night owl,gymnastics,6,senior
