,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
257,258,13.76,east coast,evening,0.39,0.38,1,0,night owl,basketball,4,sophomore
257,258,15.4,east coast,noon,0.49,0.0,2,0,night owl,basketball,4,sophomore
257,258,51.8,east coast,noon,0.43,0.07,3,1,night owl,basketball,4,sophomore
257,258,29.25,east coast,noon,0.6,0.29,3,1,night owl,basketball,4,sophomore
257,258,36.43,east coast,morning,0.51,0.3,1,0,night owl,basketball,4,sophomore
257,258,43.88,west coast,evening,0.37,0.39,3,1,night owl,basketball,4,sophomore
257,258,26.12,west coast,noon,0.0,0.77,3,2,night owl,basketball,4,sophomore
257,258,14.76,west coast,noon,0.04,1.0,2,0,night owl,basketball,4,sophomore
257,258,20.03,west coast,morning,0.0,1.0,1,0,night owl,basketball,4,sophomore
257,258,37.5,west coast,noon,0.0,1.0,0,1,night owl,basketball,4,sophomore
