,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
924,925,84.75,west coast,evening,0.98,1.0,7,5,night owl,table tennis,5,senior
924,925,66.39,west coast,evening,1.0,0.92,4,2,night owl,table tennis,5,senior
924,925,66.0,west coast,noon,1.0,1.0,5,3,night owl,table tennis,5,senior
924,925,54.09,west coast,noon,0.94,0.99,3,3,night owl,table tennis,5,senior
924,925,48.29,west coast,noon,1.0,0.81,3,3,night owl,table tennis,5,senior
924,925,64.18,west coast,noon,1.0,1.0,3,4,night owl,table tennis,5,senior
924,925,61.51,west coast,noon,1.0,1.0,3,3,night owl,table tennis,5,senior
924,925,69.7,west coast,noon,1.0,1.0,3,5,night owl,table tennis,5,senior
924,925,74.84,west coast,evening,1.0,1.0,3,5,night owl,table tennis,5,senior
924,925,60.76,west coast,noon,0.99,1.0,2,6,night owl,table tennis,5,senior
