,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
821,822,31.42,west coast,morning,0.42,0.02,9,6,night owl,table tennis,3,frosh
821,822,36.09,west coast,morning,0.53,0.05,10,6,night owl,table tennis,3,frosh
821,822,52.98,west coast,noon,0.93,0.07,9,7,night owl,table tennis,3,frosh
821,822,51.46,west coast,noon,0.85,0.25,9,7,night owl,table tennis,3,frosh
821,822,53.18,west coast,noon,1.0,0.31,10,8,night owl,table tennis,3,frosh
821,822,40.78,west coast,noon,1.0,0.12,8,8,night owl,table tennis,3,frosh
821,822,40.9,west coast,noon,0.91,0.16,7,7,night owl,table tennis,3,frosh
821,822,37.19,west coast,noon,0.94,0.0,6,7,night owl,table tennis,3,frosh
821,822,31.55,west coast,morning,1.0,0.02,5,6,night owl,table tennis,3,frosh
821,822,41.06,west coast,noon,1.0,0.0,6,6,night owl,table tennis,3,frosh
