,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
645,646,11.51,west coast,evening,0.21,0.65,3,5,early bird,martial arts,2,junior
645,646,15.39,west coast,evening,0.16,0.79,1,4,early bird,martial arts,2,junior
645,646,39.21,west coast,evening,0.09,0.81,1,4,early bird,martial arts,2,junior
645,646,43.45,west coast,noon,0.25,1.0,1,6,early bird,martial arts,2,junior
645,646,36.0,west coast,noon,0.34,0.95,2,6,early bird,martial arts,2,junior
645,646,37.92,west coast,morning,0.0,0.84,0,6,early bird,martial arts,2,junior
645,646,32.71,west coast,noon,0.0,0.73,0,6,early bird,martial arts,2,junior
645,646,29.99,west coast,noon,0.0,0.8200000000000001,0,5,early bird,martial arts,2,senior
645,646,38.21,west coast,noon,0.13,1.0,1,5,early bird,martial arts,2,senior
645,646,41.06,west coast,evening,0.07,1.0,2,5,early bird,martial arts,2,senior
