,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
46,47,22.51,east coast,evening,0.41,0.1,5,5,night owl,gymnastics,6,junior
46,47,6.8500000000000005,east coast,noon,0.01,0.0,4,6,night owl,gymnastics,6,junior
46,47,35.410000000000004,east coast,evening,0.0,0.0,3,7,night owl,gymnastics,6,junior
46,47,2.86,east coast,noon,0.09,0.05,3,9,night owl,gymnastics,6,junior
46,47,0.0,east coast,noon,0.0,0.07,2,10,night owl,gymnastics,6,junior
46,47,0.0,west coast,noon,0.11,0.08,2,11,night owl,gymnastics,6,junior
46,47,14.46,west coast,noon,0.0,0.0,2,12,night owl,gymnastics,6,junior
46,47,12.39,west coast,noon,0.0,0.19,1,12,night owl,gymnastics,6,junior
46,47,5.55,west coast,noon,0.23,0.11,1,12,night owl,gymnastics,6,junior
46,47,0.0,west coast,noon,0.13,0.32,0,12,night owl,gymnastics,6,junior
