,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
185,186,0.0,east coast,noon,0.18,0.09,5,4,night owl,curling,3,junior
185,186,0.0,east coast,noon,0.1,0.09,4,5,night owl,curling,3,junior
185,186,19.04,east coast,noon,0.27,0.2,5,4,night owl,curling,3,junior
185,186,23.61,east coast,noon,0.85,0.0,5,5,night owl,curling,3,junior
185,186,36.8,east coast,evening,1.0,0.0,4,5,night owl,curling,3,junior
185,186,31.18,west coast,noon,0.92,0.01,6,4,night owl,curling,3,junior
185,186,34.67,west coast,evening,0.94,0.0,8,5,night owl,curling,3,junior
185,186,30.94,west coast,noon,0.91,0.0,8,6,night owl,curling,3,junior
185,186,37.11,west coast,noon,0.9,0.0,8,4,night owl,curling,3,junior
185,186,37.83,west coast,evening,0.88,0.0,8,5,night owl,curling,3,junior
