,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
93,94,42.06,east coast,morning,0.84,0.52,6,3,night owl,football,6,junior
93,94,53.28,east coast,evening,0.85,0.58,8,3,night owl,football,6,junior
93,94,24.93,east coast,evening,0.84,0.0,8,3,night owl,football,6,junior
93,94,24.0,east coast,evening,0.54,0.1,7,3,night owl,football,6,junior
93,94,1.49,east coast,noon,0.05,0.01,6,2,night owl,football,6,junior
93,94,24.01,west coast,morning,0.05,0.0,7,2,night owl,football,6,junior
93,94,38.54,west coast,noon,0.32,0.03,5,2,night owl,football,6,junior
93,94,38.49,west coast,evening,0.4,0.0,5,1,night owl,football,6,junior
93,94,0.0,west coast,morning,0.38,0.04,5,1,night owl,football,6,junior
93,94,7.09,west coast,noon,0.44,0.11,5,2,night owl,football,6,junior
