,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
369,370,20.94,west coast,evening,0.14,0.29,2,1,night owl,football,3,sophomore
369,370,24.62,west coast,noon,0.0,0.01,3,0,night owl,football,3,sophomore
369,370,0.0,west coast,noon,0.0,0.01,2,0,night owl,football,3,sophomore
369,370,10.05,west coast,noon,0.04,0.01,2,0,night owl,football,3,sophomore
369,370,0.0,west coast,morning,0.0,0.12,4,0,night owl,football,3,sophomore
369,370,14.92,west coast,evening,0.0,0.0,4,0,night owl,football,3,sophomore
369,370,0.0,west coast,noon,0.09,0.0,3,0,night owl,football,3,sophomore
369,370,29.04,west coast,evening,0.02,0.06,4,0,night owl,football,3,sophomore
369,370,13.96,west coast,evening,0.0,0.4,3,0,night owl,football,3,sophomore
369,370,49.6,west coast,noon,0.0,0.55,1,2,night owl,football,3,sophomore
