,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
240,241,71.38,east coast,evening,0.78,0.8300000000000001,7,8,night owl,martial arts,4,junior
240,241,65.75,east coast,noon,0.77,0.92,7,7,night owl,martial arts,4,junior
240,241,76.34,east coast,evening,1.0,0.92,7,6,night owl,martial arts,4,junior
240,241,58.02,east coast,noon,0.94,0.76,7,6,night owl,martial arts,4,junior
240,241,60.49,east coast,evening,1.0,0.76,6,7,night owl,martial arts,4,junior
240,241,56.71,west coast,noon,1.0,0.74,5,6,night owl,martial arts,4,junior
240,241,44.12,west coast,noon,0.93,0.15,8,5,night owl,martial arts,4,junior
240,241,48.34,west coast,morning,0.76,0.19,7,3,night owl,martial arts,4,junior
240,241,28.31,west coast,noon,0.52,0.44,6,2,night owl,martial arts,4,junior
240,241,35.75,west coast,noon,0.4,0.54,6,2,night owl,martial arts,4,junior
