,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
772,773,44.2,west coast,evening,0.41,0.5,7,6,night owl,martial arts,3,junior
772,773,48.21,west coast,noon,0.76,0.48,6,5,night owl,martial arts,3,junior
772,773,52.32,west coast,noon,0.85,0.72,6,6,night owl,martial arts,3,junior
772,773,63.18,west coast,morning,0.84,0.86,6,4,night owl,martial arts,3,junior
772,773,75.63,west coast,evening,0.76,1.0,4,4,night owl,martial arts,3,senior
772,773,69.65,west coast,morning,0.99,0.94,3,3,night owl,martial arts,3,senior
772,773,57.4,west coast,noon,1.0,0.79,4,4,night owl,martial arts,3,senior
772,773,68.34,west coast,noon,0.98,0.96,3,4,night owl,martial arts,3,senior
772,773,56.44,west coast,noon,0.95,0.88,3,4,night owl,martial arts,3,senior
772,773,54.17,west coast,noon,1.0,0.85,2,5,night owl,martial arts,3,senior
