,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
573,574,65.74,west coast,evening,0.89,0.75,7,7,night owl,martial arts,5,junior
573,574,56.81,west coast,evening,0.74,0.38,9,8,night owl,martial arts,5,junior
573,574,56.93,west coast,noon,1.0,0.51,9,5,night owl,martial arts,5,junior
573,574,77.35000000000001,west coast,noon,0.88,1.0,9,4,night owl,martial arts,5,junior
573,574,63.55,west coast,noon,0.62,0.93,7,3,night owl,martial arts,5,junior
573,574,58.13,west coast,morning,0.93,0.88,7,3,night owl,martial arts,5,junior
573,574,65.34,west coast,noon,0.94,0.65,9,3,night owl,martial arts,5,junior
573,574,51.35,west coast,noon,0.93,0.43,8,4,night owl,martial arts,5,junior
573,574,61.81,west coast,noon,0.97,0.67,8,3,night owl,martial arts,5,junior
573,574,61.85,west coast,noon,1.0,0.85,7,4,night owl,martial arts,5,junior
