,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
190,191,42.75,east coast,morning,0.73,0.84,1,2,night owl,table tennis,6,junior
190,191,27.81,east coast,noon,0.99,0.42,0,2,night owl,table tennis,6,junior
190,191,41.2,east coast,evening,1.0,0.28,0,2,night owl,table tennis,6,junior
190,191,28.93,east coast,noon,0.96,0.47,0,3,night owl,table tennis,6,junior
190,191,36.03,east coast,noon,0.95,0.62,0,3,night owl,table tennis,6,junior
190,191,49.57,west coast,morning,0.8300000000000001,1.0,0,3,night owl,table tennis,6,junior
190,191,58.25,west coast,noon,0.84,1.0,0,2,night owl,table tennis,6,junior
190,191,68.87,west coast,noon,1.0,1.0,0,2,night owl,table tennis,6,junior
190,191,59.44,west coast,noon,1.0,1.0,0,2,night owl,table tennis,6,junior
190,191,52.870000000000005,west coast,noon,0.81,1.0,0,2,night owl,table tennis,6,junior
