,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
791,792,5.68,west coast,evening,0.01,0.05,2,5,night owl,curling,3,sophomore
791,792,40.48,west coast,noon,0.0,0.0,3,4,night owl,curling,3,sophomore
791,792,10.76,west coast,noon,0.09,0.12,3,3,night owl,curling,3,sophomore
791,792,20.75,west coast,noon,0.18,0.45,4,4,night owl,curling,3,sophomore
791,792,4.28,west coast,morning,0.15,0.16,3,4,night owl,curling,3,sophomore
791,792,17.11,west coast,noon,0.44,0.45,2,4,night owl,curling,3,sophomore
791,792,24.07,west coast,noon,0.85,0.26,2,5,night owl,curling,3,sophomore
791,792,21.59,west coast,morning,0.41,0.35,1,6,night owl,curling,3,sophomore
791,792,30.64,west coast,evening,0.67,0.23,1,6,night owl,curling,3,sophomore
791,792,36.64,west coast,noon,0.62,0.18,1,6,night owl,curling,3,sophomore
