,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
742,743,13.99,west coast,evening,0.6,0.0,9,9,early bird,gymnastics,6,frosh
742,743,13.07,west coast,noon,0.71,0.0,8,10,early bird,gymnastics,6,frosh
742,743,37.1,west coast,noon,0.86,0.09,8,9,early bird,gymnastics,6,frosh
742,743,44.2,west coast,noon,0.98,0.0,8,9,early bird,gymnastics,6,frosh
742,743,48.75,west coast,noon,1.0,0.15,7,9,early bird,gymnastics,6,frosh
742,743,29.93,west coast,noon,1.0,0.08,7,8,early bird,gymnastics,6,frosh
742,743,33.9,west coast,noon,1.0,0.1,6,6,early bird,gymnastics,6,frosh
742,743,26.83,west coast,noon,0.94,0.0,5,6,early bird,gymnastics,6,frosh
742,743,26.8,west coast,evening,0.99,0.0,5,3,early bird,gymnastics,6,frosh
742,743,23.48,west coast,evening,1.0,0.19,5,2,early bird,gymnastics,6,frosh
