,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
167,168,22.82,east coast,evening,0.08,0.19,4,2,early bird,martial arts,2,junior
167,168,21.24,east coast,noon,0.0,0.29,4,3,early bird,martial arts,2,junior
167,168,12.62,east coast,noon,0.0,0.0,2,4,early bird,martial arts,2,junior
167,168,29.98,east coast,noon,0.17,0.02,0,3,early bird,martial arts,2,junior
167,168,0.5,east coast,noon,0.17,0.26,1,2,early bird,martial arts,2,junior
167,168,44.03,west coast,noon,0.39,0.66,1,2,early bird,martial arts,2,junior
167,168,45.63,west coast,noon,1.0,0.56,2,2,early bird,martial arts,2,junior
167,168,64.21000000000001,west coast,noon,0.94,0.94,1,1,early bird,martial arts,2,junior
167,168,55.25,west coast,noon,1.0,0.91,0,1,early bird,martial arts,2,junior
167,168,50.83,west coast,noon,0.9,0.86,0,2,early bird,martial arts,2,junior
